estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,sismo,inundacion,vulnerabilidad,sin_ARM,beneficio,costo
Colima,Colima,D,Medio,Bajo,Sí,4,3,2,0,16.5,50000
Colima,Cuauhtémoc,D,Bajo,Bajo,Sí,4,2,2,0,15.0,50000
Colima,Ixtlahuacán,D,Alto,Alto,No,4,4,4,1,25.0,50000
Colima,Manzanillo,D,Muy alto,Bajo,Sí,4,5,2,0,19.5,50000
Colima,Minatitlán,D,Medio,Alto,No,4,3,4,1,23.5,50000
Colima,Villa de Álvarez,D,Bajo,Bajo,Sí,4,2,2,0,15.0,50000
Colima,Armería,D,Muy alto,Medio,Sí,4,5,3,0,21.5,50000
Nayarit,Acaponeta,C,Alto,Alto,Sí,3,4,4,0,20.0,50000
Nayarit,Ahuacatlán,B,Bajo,Medio,No,2,2,3,1,16.0,50000
Nayarit,Amatlán de Cañas,C,Medio,Medio,No,3,3,3,1,19.5,50000
Nayarit,Compostela,D,Alto,Medio,Sí,4,4,3,0,20.0,50000
Nayarit,El Nayar,B,Bajo,Muy alto,No,2,2,5,1,20.0,50000
Nayarit,Huajicori,B,Medio,Muy alto,No,2,3,5,1,21.5,50000
Nayarit,Jala,C,Bajo,Medio,No,3,2,3,1,18.0,50000
Nayarit,La Yesca,B,Bajo,Muy alto,No,2,2,5,1,20.0,50000
Nayarit,Rosamorada,C,Alto,Alto,Sí,3,4,4,0,20.0,50000
Nayarit,Ruíz,C,Medio,Alto,No,3,3,4,1,21.5,50000
Nayarit,San Pedro Lagunillas,C,Medio,Medio,No,3,3,3,1,19.5,50000
Nayarit,Santiago Ixcuintla,C,Muy alto,Medio,Sí,3,5,3,0,19.5,50000
Nayarit,Tecuala,C,Alto,Alto,Sí,3,4,4,0,20.0,50000
Nayarit,Tepic,C,Medio,Bajo,Sí,3,3,2,0,14.5,50000
Nayarit,Tuxpan,C,Medio,Medio,No,3,3,3,1,19.5,50000
Nayarit,Xalisco,C,Bajo,Bajo,Sí,3,2,2,0,13.0,50000
Nayarit,Bahía de Banderas,D,Alto,Bajo,Sí,4,4,2,0,18.0,50000
Jalisco,Acatic,C,Bajo,Medio,No,3,2,3,1,18.0,50000
Jalisco,Acatlán de Juárez,C,Medio,Medio,No,3,3,3,1,19.5,50000
Jalisco,Ahualulco de Mercado,C,Bajo,Bajo,No,3,2,2,1,16.0,50000
Jalisco,Amacueca,C,Medio,Medio,No,3,3,3,1,19.5,50000
Jalisco,Amatitán,C,Bajo,Bajo,No,3,2,2,1,16.0,50000
Jalisco,Arandas,B,Bajo,Bajo,No,2,2,2,1,14.0,50000
